Day,Treatment,Mouse_ID,Alcohol_Intake
1,TBG,1,10.07407
2,TBG,1,12.44444
5,TBG,1,14.81481
1,TBG,2,4.357977
2,TBG,2,6.225681
5,TBG,2,14.94163
1,TBG,3,10.66667
2,TBG,3,11.85185
5,TBG,3,7.111111
1,TBG,4,6.486486
2,TBG,4,8.648649
5,TBG,4,14.05405
1,TBG,5,3.50365
2,TBG,5,7.007299
5,TBG,5,13.43066
1,TBG,6,9.890909
2,TBG,6,11.63636
5,TBG,6,14.54545
1,TBG,7,7.761194
2,TBG,7,11.34328
5,TBG,7,12.53731
1,TBG,8,7.272727
2,TBG,8,9.51049
5,TBG,8,10.06993
1,TBG,9,13.38403
2,TBG,9,13.38403
5,TBG,9,13.9924
1,TBG,10,5.217391
2,TBG,10,8.115942
5,TBG,10,11.5942
1,TBG,11,8.947368
2,TBG,11,10
5,TBG,11,10
1,TBG,12,12.03008
2,TBG,12,21.05263
5,TBG,12,15.03759
1,TBG,13,9.69697
2,TBG,13,7.878788
5,TBG,13,12.72727
1,TBG,14,8.480565
2,TBG,14,5.088339
5,TBG,14,9.611307
1,TBG,15,6.330935
2,TBG,15,6.906475
5,TBG,15,9.784173
1,TBG,16,4.723247
2,TBG,16,7.675277
5,TBG,16,4.723247
1,TBG,17,13.78277
2,TBG,17,11.38577
5,TBG,17,11.98502
1,TBG,18,4.028777
2,TBG,18,5.179856
5,TBG,18,9.208633
1,TBG,19,1.146953
2,TBG,19,4.587814
5,TBG,19,11.46953
1,VEH,1,12.44444
2,VEH,1,16
5,VEH,1,17.18519
1,VEH,2,7.470817
2,VEH,2,8.093385
5,VEH,2,10.58366
1,VEH,3,16
2,VEH,3,12.44444
5,VEH,3,16
1,VEH,4,12.43243
2,VEH,4,10.27027
5,VEH,4,11.89189
1,VEH,5,8.759124
2,VEH,5,8.175182
5,VEH,5,11.09489
1,VEH,6,14.54545
2,VEH,6,16.29091
5,VEH,6,16.29091
1,VEH,7,11.34328
2,VEH,7,7.761194
5,VEH,7,7.164179
1,VEH,8,15.1049
2,VEH,8,9.51049
5,VEH,8,8.951049
1,VEH,9,12.1673
2,VEH,9,13.38403
5,VEH,9,13.9924
1,VEH,10,9.275362
2,VEH,10,8.115942
5,VEH,10,10.43478
1,VEH,11,11.57895
2,VEH,11,7.368421
5,VEH,11,13.15789
1,VEH,12,15.6391
2,VEH,12,24.66165
5,VEH,12,18.64662
1,VEH,13,11.51515
2,VEH,13,11.51515
5,VEH,13,10.90909
1,VEH,14,9.045936
2,VEH,14,9.611307
5,VEH,14,14.13428
1,VEH,15,7.482014
2,VEH,15,8.633094
5,VEH,15,8.633094
1,VEH,16,3.542435
2,VEH,16,8.856089
5,VEH,16,12.39852
1,VEH,17,12.58427
2,VEH,17,20.37453
5,VEH,17,11.98502
1,VEH,18,7.482014
2,VEH,18,4.604317
5,VEH,18,6.330935
1,VEH,19,14.33692
2,VEH,19,16.05735
5,VEH,19,18.35125
