,Unnamed: 0,Treatment,duration,repl_name,interval,bpm
0,12,DMSO,T0.csv,0255-0190-0037,0.307407407,195.1807229
2,14,DMSO,T0.csv,0300-0250-0373,0.354166667,169.4117647
4,16,DMSO,T0.csv,0174-0170-0514,0.35,171.4285714
6,18,DMSO,T0.csv,0084-0130-0665,0.29,206.8965517
8,0,DMSO,1hr.csv,0005-0231-0058,0.306666667,195.6521739
10,2,DMSO,1hr.csv,0255-0281-0396,0.35,171.4285714
12,4,DMSO,1hr.csv,0022-0202-0536,0.376190476,159.4936709
14,6,DMSO,1hr.csv,0199-0155-0685,0.307407407,195.1807229
16,8,DMSO,2hr.csv,0278-0292-0055,0.314814815,190.5882353
18,10,DMSO,2hr.csv,0031-0192-0677,0.314814815,190.5882353
20,20,DMSO,1hr.csv,0101-0250-0187,0.329166667,182.278481
22,22,DMSO,1hr.csv,0110-0182-0336,0.3625,165.5172414
24,24,DMSO,1hr.csv,0106-0151-0447,0.380952381,157.5
26,26,DMSO,2hr.csv,0188-0248-0211,0.345833333,173.4939759
28,28,DMSO,2hr.csv,0131-0173-0357,0.40952381,146.5116279
30,30,DMSO,2hr.csv,0210-0165-0658,0.329166667,182.278481
32,32,DMSO,T0.csv,0026-0199-0379,0.3625,165.5172414
34,34,DMSO,T0.csv,0172-0165-0490,0.358333333,167.4418605
36,36,DMSO,T0.csv,0033-0199-0681,0.341666667,175.6097561
38,38,Ibogaine,1hr.csv,0116-0237-0129,0.573333333,104.6511628
40,40,Ibogaine,1hr.csv,0242-0212-0311,0.5,120
42,42,Ibogaine,1hr.csv,0121-0237-0473,0.65,92.30769231
44,44,Ibogaine,1hr.csv,0090-0198-0672,0.62,96.77419355
46,46,Ibogaine,2hr.csv,0332-0236-0123,0.666666667,90
48,48,Ibogaine,2hr.csv,0561-0218-0307,0.329166667,182.278481
50,50,Ibogaine,2hr.csv,0242-0250-0469,0.48,125
52,52,Ibogaine,2hr.csv,0505-0221-0665,0.29,206.8965517
54,54,Ibogaine,T0.csv,0114-0221-0061,0.35,171.4285714
56,56,Ibogaine,T0.csv,0146-0173-0256,0.345833333,173.4939759
58,58,Ibogaine,T0.csv,0275-0146-0437,0.318518519,188.372093
60,60,Ibogaine,T0.csv,0100-0172-0601,0.341666667,175.6097561
62,63,Ibogaine,1hr.csv,0214-0153-0096,0.513333333,116.8831169
64,65,Ibogaine,1hr.csv,0201-0221-0218,0.361904762,165.7894737
66,67,Ibogaine,1hr.csv,0206-0185-0322,0.388888889,154.2857143
68,69,Ibogaine,1hr.csv,0193-0215-0471,0.55,109.0909091
70,71,Ibogaine,1hr.csv,0157-0201-0672,0.546666667,109.7560976
72,73,Ibogaine,2hr.csv,0103-0180-0141,0.708333333,84.70588235
74,75,Ibogaine,2hr.csv,0206-0256-0515,0.6,100
76,77,Ibogaine,2hr.csv,0237-0257-0712,0.6,100
78,79,Ibogaine,T0.csv,0120-0152-0085,0.366666667,163.6363636
80,81,Ibogaine,T0.csv,0155-0220-0205,0.371428571,161.5384615
82,83,Ibogaine,T0.csv,0018-0182-0309,0.296666667,202.247191
84,85,Ibogaine,T0.csv,0103-0230-0456,0.371428571,161.5384615
86,87,Ibogaine,T0.csv,0172-0219-0658,0.35,171.4285714
88,89,Iboganalog,1hr.csv,0037-0246-0075,0.366666667,163.6363636
90,91,Iboganalog,1hr.csv,0117-0212-0678,0.345833333,173.4939759
92,93,Iboganalog,2hr.csv,0242-0172-0060,0.371428571,161.5384615
94,95,Iboganalog,2hr.csv,0006-0138-0662,0.35,171.4285714
96,98,Iboganalog,1hr.csv,0185-0199-0691,0.35,171.4285714
98,100,Iboganalog,2hr.csv,0138-0214-0383,0.3625,165.5172414
100,102,Iboganalog,T0.csv,0198-0196-0188,0.311111111,192.8571429
102,104,Iboganalog,T0.csv,0321-0184-0444,0.341666667,175.6097561
104,106,Iboganalog,T0.csv,0035-0186-0544,0.318518519,188.372093
106,108,Iboganalog,T0.csv,0186-0194-0698,0.357142857,168
142,145,Tabernanthalog,1hr.csv,0024-0299-0224,0.427777778,140.2597403
144,147,Tabernanthalog,2hr.csv,0033-0178-0115,0.4,150
146,149,Tabernanthalog,2hr.csv,0276-0178-0264,0.357142857,168
148,151,Tabernanthalog,2hr.csv,0030-0171-0382,0.422222222,142.1052632
150,153,Tabernanthalog,2hr.csv,0182-0149-0651,0.307407407,195.1807229
152,155,Tabernanthalog,T0.csv,0130-0232-0122,0.352380952,170.2702703
154,157,Tabernanthalog,T0.csv,0060-0232-0250,0.3375,177.7777778
156,159,Tabernanthalog,T0.csv,0014-0190-0408,0.4,150
158,161,Tabernanthalog,T0.csv,0022-0136-0566,0.361904762,165.7894737
160,163,Tabernanthalog,T0.csv,0083-0168-0692,0.32962963,182.0224719
162,165,Tabernanthalog,1hr.csv,0015-0234-0102,0.376190476,159.4936709
164,167,Tabernanthalog,1hr.csv,0119-0223-0219,0.380952381,157.5
166,169,Tabernanthalog,1hr.csv,0246-0210-0705,0.341666667,175.6097561
168,171,Tabernanthalog,2hr.csv,0033-0171-0382,0.416666667,144
170,173,Tabernanthalog,2hr.csv,0203-0152-0648,0.354166667,169.4117647
172,175,Tabernanthalog,T0.csv,0092-0215-0075,0.380952381,157.5
