,Treatment,duration,repl_name,interval,bpm,A/V
12,DMSO,T0.csv,0255-0190-0037,0.307407407,195.1807229,1.012048193
13,DMSO,T0.csv,0285-0169-0042,0.311111111,192.8571429,1.012048193
14,DMSO,T0.csv,0300-0250-0373,0.354166667,169.4117647,1
15,DMSO,T0.csv,0196-0234-0374,0.354166667,169.4117647,1
16,DMSO,T0.csv,0174-0170-0514,0.35,171.4285714,1.011904762
17,DMSO,T0.csv,0077-0152-0516,0.354166667,169.4117647,1.011904762
18,DMSO,T0.csv,0084-0130-0665,0.29,206.8965517,1.106321839
19,DMSO,T0.csv,0338-0112-0665,0.320833333,187.012987,1.106321839
0,DMSO,1hr.csv,0005-0231-0058,0.306666667,195.6521739,1.133540373
1,DMSO,1hr.csv,0254-0215-0057,0.347619048,172.6027397,1.133540373
2,DMSO,1hr.csv,0255-0281-0396,0.35,171.4285714,0.993197279
3,DMSO,1hr.csv,0115-0268-0395,0.347619048,172.6027397,0.993197279
4,DMSO,1hr.csv,0022-0202-0536,0.376190476,159.4936709,1.007911393
5,DMSO,1hr.csv,0160-0186-0536,0.379166667,158.2417582,1.007911393
6,DMSO,1hr.csv,0199-0155-0685,0.307407407,195.1807229,0.987951807
7,DMSO,1hr.csv,0076-0137-0685,0.303703704,197.5609756,0.987951807
8,DMSO,2hr.csv,0278-0292-0055,0.314814815,190.5882353,1.047058824
9,DMSO,2hr.csv,0152-0274-0056,0.32962963,182.0224719,1.047058824
10,DMSO,2hr.csv,0031-0192-0677,0.314814815,190.5882353,1.011764706
11,DMSO,2hr.csv,0173-0170-0677,0.318518519,188.372093,1.011764706
20,DMSO,1hr.csv,0101-0250-0187,0.329166667,182.278481,0.990154712
21,DMSO,1hr.csv,0033-0233-0187,0.325925926,184.0909091,0.990154712
22,DMSO,1hr.csv,0110-0182-0336,0.3625,165.5172414,1.011494253
23,DMSO,1hr.csv,0044-0165-0336,0.366666667,163.6363636,1.011494253
24,DMSO,1hr.csv,0106-0151-0447,0.380952381,157.5,1.025
25,DMSO,1hr.csv,0071-0131-0450,0.39047619,153.6585366,1.025
26,DMSO,2hr.csv,0188-0248-0211,0.345833333,173.4939759,1
27,DMSO,2hr.csv,0057-0232-0210,0.345833333,173.4939759,1
28,DMSO,2hr.csv,0131-0173-0357,0.40952381,146.5116279,1.071705426
29,DMSO,2hr.csv,0251-0159-0356,0.438888889,136.7088608,1.071705426
30,DMSO,2hr.csv,0210-0165-0658,0.329166667,182.278481,0.978902953
31,DMSO,2hr.csv,0119-0148-0663,0.322222222,186.2068966,0.978902953
32,DMSO,T0.csv,0026-0199-0379,0.3625,165.5172414,1
33,DMSO,T0.csv,0264-0183-0380,0.3625,165.5172414,1
34,DMSO,T0.csv,0172-0165-0490,0.358333333,167.4418605,1.011627907
35,DMSO,T0.csv,0122-0152-0492,0.3625,165.5172414,1.011627907
36,DMSO,T0.csv,0033-0199-0681,0.341666667,175.6097561,1
37,DMSO,T0.csv,0020-0185-0687,0.341666667,175.6097561,1
38,Ibogaine,1hr.csv,0116-0237-0129,0.573333333,104.6511628,0.672757475
39,Ibogaine,1hr.csv,0198-0222-0129,0.385714286,155.5555556,0.672757475
40,Ibogaine,1hr.csv,0242-0212-0311,0.5,120,0.6
41,Ibogaine,1hr.csv,0044-0193-0312,0.3,200,0.6
42,Ibogaine,1hr.csv,0121-0237-0473,0.65,92.30769231,0.518518519
43,Ibogaine,1hr.csv,0203-0216-0475,0.337037037,178.021978,0.518518519
44,Ibogaine,1hr.csv,0090-0198-0672,0.62,96.77419355,0.663082437
45,Ibogaine,1hr.csv,0258-0180-0667,0.411111111,145.9459459,0.663082437
46,Ibogaine,2hr.csv,0332-0236-0123,0.666666667,90,0.691666667
47,Ibogaine,2hr.csv,0492-0222-0121,0.461111111,130.1204819,0.691666667
48,Ibogaine,2hr.csv,0561-0218-0307,0.329166667,182.278481,1.356962025
49,Ibogaine,2hr.csv,0131-0204-0307,0.446666667,134.3283582,1.356962025
50,Ibogaine,2hr.csv,0242-0250-0469,0.48,125,0.724206349
51,Ibogaine,2hr.csv,0433-0235-0471,0.347619048,172.6027397,0.724206349
52,Ibogaine,2hr.csv,0505-0221-0665,0.29,206.8965517,1.034482759
53,Ibogaine,2hr.csv,0068-0206-0665,0.3,200,1.034482759
54,Ibogaine,T0.csv,0114-0221-0061,0.35,171.4285714,0.988095238
55,Ibogaine,T0.csv,0081-0207-0064,0.345833333,173.4939759,0.988095238
56,Ibogaine,T0.csv,0146-0173-0256,0.345833333,173.4939759,0.987951807
57,Ibogaine,T0.csv,0069-0161-0252,0.341666667,175.6097561,0.987951807
58,Ibogaine,T0.csv,0275-0146-0437,0.318518519,188.372093,1.011627907
59,Ibogaine,T0.csv,0142-0130-0439,0.322222222,186.2068966,1.011627907
62,Ibogaine,1hr.csv,0091-0172-0096,0.625,96,0.821333333
63,Ibogaine,1hr.csv,0214-0153-0096,0.513333333,116.8831169,0.821333333
64,Ibogaine,1hr.csv,0061-0235-0221,0.506666667,118.4210526,0.714285714
65,Ibogaine,1hr.csv,0201-0221-0218,0.361904762,165.7894737,0.714285714
66,Ibogaine,1hr.csv,0085-0198-0321,0.358333333,167.4418605,1.085271318
67,Ibogaine,1hr.csv,0206-0185-0322,0.388888889,154.2857143,1.085271318
68,Ibogaine,1hr.csv,0035-0239-0471,0.56,107.1428571,0.982142857
69,Ibogaine,1hr.csv,0193-0215-0471,0.55,109.0909091,0.982142857
70,Ibogaine,1hr.csv,0259-0222-0665,0.55,109.0909091,0.993939394
71,Ibogaine,1hr.csv,0157-0201-0672,0.546666667,109.7560976,0.993939394
72,Ibogaine,2hr.csv,0214-0192-0140,0.361904762,165.7894737,1.957236842
73,Ibogaine,2hr.csv,0103-0180-0141,0.708333333,84.70588235,1.957236842
74,Ibogaine,2hr.csv,0041-0276-0515,0.6,100,1
75,Ibogaine,2hr.csv,0206-0256-0515,0.6,100,1
76,Ibogaine,2hr.csv,0237-0269-0703,0.6,100,1
77,Ibogaine,2hr.csv,0237-0257-0712,0.6,100,1
78,Ibogaine,T0.csv,0231-0164-0083,0.366666667,163.6363636,1
79,Ibogaine,T0.csv,0120-0152-0085,0.366666667,163.6363636,1
80,Ibogaine,T0.csv,0265-0233-0205,0.371428571,161.5384615,1
81,Ibogaine,T0.csv,0155-0220-0205,0.371428571,161.5384615,1
82,Ibogaine,T0.csv,0110-0194-0309,0.366666667,163.6363636,0.809090909
83,Ibogaine,T0.csv,0018-0182-0309,0.296666667,202.247191,0.809090909
84,Ibogaine,T0.csv,0203-0247-0458,0.371428571,161.5384615,1
85,Ibogaine,T0.csv,0103-0230-0456,0.371428571,161.5384615,1
86,Ibogaine,T0.csv,0236-0235-0652,0.35,171.4285714,1
87,Ibogaine,T0.csv,0172-0219-0658,0.35,171.4285714,1
88,Iboganalog,1hr.csv,0205-0264-0075,0.366666667,163.6363636,1
89,Iboganalog,1hr.csv,0037-0246-0075,0.366666667,163.6363636,1
90,Iboganalog,1hr.csv,0261-0229-0674,0.35,171.4285714,0.988095238
91,Iboganalog,1hr.csv,0117-0212-0678,0.345833333,173.4939759,0.988095238
92,Iboganalog,2hr.csv,0127-0187-0060,0.366666667,163.6363636,1.012987013
93,Iboganalog,2hr.csv,0242-0172-0060,0.371428571,161.5384615,1.012987013
94,Iboganalog,2hr.csv,0141-0155-0660,0.358333333,167.4418605,0.976744186
95,Iboganalog,2hr.csv,0006-0138-0662,0.35,171.4285714,0.976744186
96,Iboganalog,T0.csv,0143-0195-0681,0.422222222,142.1052632,0.828947369
96,Iboganalog,T0.csv,0143-0195-0681,0.422222222,142.1052632,0.828947369
98,Iboganalog,1hr.csv,0185-0199-0691,0.35,171.4285714,1.048192771
99,Iboganalog,1hr.csv,0065-0182-0698,0.345833333,173.4939759,1.048192771
100,Iboganalog,2hr.csv,0138-0214-0383,0.3625,165.5172414,0.878431372
101,Iboganalog,2hr.csv,0026-0193-0392,0.354166667,169.4117647,0.878431372
102,Iboganalog,T0.csv,0198-0196-0188,0.311111111,192.8571429,1.098214286
103,Iboganalog,T0.csv,0070-0182-0188,0.311111111,192.8571429,1.098214286
104,Iboganalog,T0.csv,0321-0184-0444,0.341666667,175.6097561,0.921017403
105,Iboganalog,T0.csv,0205-0168-0444,0.345833333,173.4939759,0.921017403
106,Iboganalog,T0.csv,0035-0186-0544,0.318518519,188.372093,1.108374385
107,Iboganalog,T0.csv,0210-0172-0545,0.322222222,186.2068966,1.108374385
108,Iboganalog,T0.csv,0186-0194-0698,0.357142857,168,1.08991228
109,Iboganalog,T0.csv,0074-0175-0707,0.361904762,165.7894737,1.08991228
144,Tabernanthalog,1hr.csv,0098-0314-0225,0.433333333,138.4615385,0.987179487
145,Tabernanthalog,1hr.csv,0024-0299-0224,0.427777778,140.2597403,0.987179487
146,Tabernanthalog,2hr.csv,0112-0196-0113,0.4,150,1
147,Tabernanthalog,2hr.csv,0033-0178-0115,0.4,150,1
148,Tabernanthalog,2hr.csv,0094-0193-0265,0.416666667,144,0.857142857
149,Tabernanthalog,2hr.csv,0276-0178-0264,0.357142857,168,0.857142857
150,Tabernanthalog,2hr.csv,0161-0187-0384,0.526666667,113.9240506,0.801687763
151,Tabernanthalog,2hr.csv,0030-0171-0382,0.422222222,142.1052632,0.801687763
152,Tabernanthalog,2hr.csv,0002-0167-0645,0.39047619,153.6585366,0.787262873
153,Tabernanthalog,2hr.csv,0182-0149-0651,0.307407407,195.1807229,0.787262873
154,Tabernanthalog,T0.csv,0136-0247-0123,0.354166667,169.4117647,0.994957983
155,Tabernanthalog,T0.csv,0130-0232-0122,0.352380952,170.2702703,0.994957983
156,Tabernanthalog,T0.csv,0149-0251-0252,0.3375,177.7777778,1
157,Tabernanthalog,T0.csv,0060-0232-0250,0.3375,177.7777778,1
158,Tabernanthalog,T0.csv,0127-0208-0408,0.39047619,153.6585366,1.024390244
159,Tabernanthalog,T0.csv,0014-0190-0408,0.4,150,1.024390244
160,Tabernanthalog,T0.csv,0098-0156-0567,0.3625,165.5172414,0.998357964
161,Tabernanthalog,T0.csv,0022-0136-0566,0.361904762,165.7894737,0.998357964
162,Tabernanthalog,T0.csv,0107-0185-0691,0.329166667,182.278481,1.00140647
163,Tabernanthalog,T0.csv,0083-0168-0692,0.32962963,182.0224719,1.00140647
164,Tabernanthalog,1hr.csv,0081-0247-0105,0.376190476,159.4936709,1
165,Tabernanthalog,1hr.csv,0015-0234-0102,0.376190476,159.4936709,1
166,Tabernanthalog,1hr.csv,0211-0240-0222,0.380952381,157.5,1
167,Tabernanthalog,1hr.csv,0119-0223-0219,0.380952381,157.5,1
168,Tabernanthalog,1hr.csv,0042-0225-0702,0.35,171.4285714,0.976190476
169,Tabernanthalog,1hr.csv,0246-0210-0705,0.341666667,175.6097561,0.976190476
170,Tabernanthalog,2hr.csv,0168-0189-0385,0.45,133.3333333,0.925925926
171,Tabernanthalog,2hr.csv,0033-0171-0382,0.416666667,144,0.925925926
172,Tabernanthalog,2hr.csv,0085-0165-0647,0.395238095,151.8072289,0.896084337
173,Tabernanthalog,2hr.csv,0203-0152-0648,0.354166667,169.4117647,0.896084337
174,Tabernanthalog,T0.csv,0218-0231-0078,0.380952381,157.5,1
175,Tabernanthalog,T0.csv,0092-0215-0075,0.380952381,157.5,1
176,Tabernanthalog,T0.csv,0015-0231-0194,0.344444444,174.1935484,0.967741936
177,Tabernanthalog,T0.csv,0267-0210-0193,0.333333333,180,0.967741936
178,Tabernanthalog,T0.csv,0208-0208-0457,0.325,184.6153846,0.991452991
179,Tabernanthalog,T0.csv,0097-0190-0460,0.322222222,186.2068966,0.991452991
180,Tabernanthalog,T0.csv,0195-0230-0677,0.314814815,190.5882353,1.011764706
181,Tabernanthalog,T0.csv,0122-0213-0679,0.318518519,188.372093,1.011764706
111,Sertindole,1hr.csv,0183-0158-0125,0.375,160,1.096296297
112,Sertindole,1hr.csv,0269-0204-0305,0.411111111,145.9459459,1.096296297
113,Sertindole,1hr.csv,0113-0191-0304,0.27,222.2222222,2.037037037
114,Sertindole,1hr.csv,0184-0167-0476,0.55,109.0909091,2.037037037
115,Sertindole,1hr.csv,0057-0154-0476,0.303333333,197.8021978,1.350078493
117,Sertindole,1hr.csv,0270-0221-0672,0.40952381,146.5116279,1.350078493
118,Sertindole,2hr.csv,0199-0197-0097,0.394444444,152.1126761,1.002012073
119,Sertindole,2hr.csv,0101-0176-0099,0.395238095,151.8072289,1.002012073
120,Sertindole,2hr.csv,0223-0265-0639,0.675,88.88888889,0.455418381
121,Sertindole,2hr.csv,0162-0252-0644,0.307407407,195.1807229,0.455418381
122,Sertindole,T0.csv,0115-0204-0059,0.383333333,156.5217391,1.01863354
123,Sertindole,T0.csv,0024-0187-0060,0.39047619,153.6585366,1.01863354
124,Sertindole,T0.csv,0216-0138-0269,0.333333333,180,0.9875
125,Sertindole,T0.csv,0168-0123-0270,0.329166667,182.278481,0.9875
126,Sertindole,T0.csv,0218-0167-0449,0.352380952,170.2702703,1.005067568
127,Sertindole,T0.csv,0149-0150-0450,0.354166667,169.4117647,1.005067568
128,Sertindole,1hr.csv,0401-0169-0185,0.361904762,165.7894737,0.944078947
129,Sertindole,1hr.csv,0110-0151-0184,0.341666667,175.6097561,0.944078947
130,Sertindole,1hr.csv,0083-0191-0406,0.333333333,180,1.166666667
131,Sertindole,1hr.csv,0236-0178-0406,0.388888889,154.2857143,1.166666667
132,Sertindole,1hr.csv,0340-0233-0640,0.52,115.3846154,1.08974359
133,Sertindole,1hr.csv,0089-0215-0641,0.566666667,105.8823529,1.08974359
134,Sertindole,2hr.csv,0123-0240-0118,0.273333333,219.5121951,1.08401084
135,Sertindole,2hr.csv,0257-0223-0117,0.296296296,202.5,1.08401084
136,Sertindole,2hr.csv,0234-0300-0571,0.473333333,126.7605634,0.78470825
137,Sertindole,2hr.csv,0106-0285-0572,0.371428571,161.5384615,0.78470825
138,Sertindole,T0.csv,0138-0213-0274,0.3625,165.5172414,1.241379311
139,Sertindole,T0.csv,0029-0199-0273,0.45,133.3333333,1.241379311
140,Sertindole,T0.csv,0068-0291-0353,0.357142857,168,1
141,Sertindole,T0.csv,0238-0274-0352,0.357142857,168,1
142,Sertindole,T0.csv,0025-0327-0582,0.366666667,163.6363636,1
143,Sertindole,T0.csv,0223-0311-0587,0.366666667,163.6363636,1
